Link,Name,Benefits,Image,Detail
https://www.card-gorilla.com/card/detail/13,PAYCO 포인트 카드,"['공과금', '편의점', '병원/약국', '생활', '온라인쇼핑', '택시', '푸드', '대형마트', '주유소', '온라인쇼핑', '유의사항']",https://api.card-gorilla.com:8080/storage/card/13/card_img/28201/13card.png,"['월납요금(공과금) 10% 할인서비스', '편의점 10% 할인', '병원/약국업종 10% 할인', '세탁소 업종 10% 할인', '온라인 쇼핑 10% 할인', '택시 10% 할인', '식음료 10% 할인', '3대 마트 10% 할인', '4대 정유사 리터당 60원 할인', '인테이크몰 20% 할인', '꼭 확인해주세요!']"
https://www.card-gorilla.com/card/detail/2422,노리2 체크카드(KB Pay),"['카페', '게임', '공연/전시', '드럭스토어', '편의점', '디지털구독', '배달앱', '통신', '영화', '테마파크', '간편결제', '간편결제', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2422/card_img/27141/2422card.png,"['[일상] 스타벅스, 커피빈 10% 할인', '[일상] 구글플레이스토어, 앱스토어 10% 할인', '[일상] 인터파크 티켓 10% 할인', '[일상] 올리브영, 미용실 업종 5% 할인', '[일상] GS25, CU 5% 할인', '[일상]넷플릭스, 유튜브프리미엄 1,000원 할인', '[일상] 배달의 민족, 요기요 1,000원 할인', '[일상] SKT, KT, LG U+, Liiv M 2,500원 할인', '[일상] CGV 4,000원 할인', '[일상] 에버랜드, 롯데월드 15,000원 할인', '[KB Pay] 오프라인 가맹점 2% 추가 할인', '[KB Pay] 온라인 가맹점 2% 추가 할인', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2432,네이버페이 머니 하나 체크카드,"['적립', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2432/card_img/27295/2432card.png,"['네이버페이 포인트 적립 서비스', '플레이트 디자인 선택 가능', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2691,트래블러스 체크카드,"['해외', '할인', '카페', '베이커리', '기차', '고속버스', '자동차', '푸드', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2691/card_img/33455/2691card_2.png,"['[해외 혜택] 해외 가맹점, ATM 이용 수수료 면제', '[국내 혜택] KB Pay 200원 추가 할인', '[국내 혜택] 카페 1,000원 할인', '[국내 혜택] 빵집 2,000원 할인', '[국내 혜택] 철도 5,000원 할인', '[국내 혜택] 고속버스 2,000원 할인', '[국내 혜택] 주차장 500원 할인', '[국내 혜택] 전국맛집 5,000원 할인', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2492,신한카드 플리 체크(산리오캐릭터즈),"['국내외가맹점', '기타', '적립', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2492/card_img/28476/2492card.png,"['[Daily 할인] 국내 이용금액 최대 0.3% 할인, 해외 이용금액 0.2% 할인', '[Weekly 할인 쿠폰] 매월 2회 국내 이용 할인 쿠폰 제공', '[Monthly 단골 적립] My Pick 가맹점 월 3, 6, 9번째 이용 건에 대해 마이신한포인트 1,000포인트 적립', '카드 플레이트 선택 가능', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2321,모빌리언스카드,"['모든가맹점', '온라인쇼핑', '편의점', '카페', '생활', '푸드', '패스트푸드', '통신', '기타', '기타', '기타', '혜택 프로모션', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2321/card_img/23849/2321card.png,"['0.5% 무제한 적립', '이 달의 가맹점(티몬, 위메프, 11번가, G마켓) 1% 적립', 'GS25, 이마트24 1.5% 적립', '카페/베이커리 브랜드 최대 7.5% 적립', '대형마트/쇼핑/여가 브랜드 최대 6.5% 적립', '외식 브랜드 최대 6.5% 적립', 'KFC 10% 즉시할인', 'KG모바일 알뜰폰 결합 시 4.5% 혜택', '총 8개의 다양한 충전수단, 30% 소득공제', '‘휴대폰결제(소액결제)’ 로 충전해서 비상금 만들기', '페이북 및 간편결제 가능, 마이태그 캐시백 혜택 적용', '휴대폰결제로 충전 후 최초 결제 시 2,000P 즉시 지급 + 매월 신규 이벤트 진행 중', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2379,신한카드 On 체크(잔망루피),"['간편결제', '생활', '해외', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2379/card_img/25379/2379card.png,"['간편결제(Pay) 이용 시 최대 2% 적립', '생활편의영역 이용 시 최대 2% 적립', '해외 이용금액에 대해 1.3% 적립', '카드 플레이트 선택 가능', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2601,더나은 체크카드,"['간편결제', '온라인쇼핑', '카페', '해외이용', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2601/card_img/31113/2601card.png,"['네이버페이, 카카오페이, 페이코 결제 시 이용금액의 20% 할인 캐시백', '쿠팡, 무신사, 지그재그, W컨셉, 에이블리 결제 시 이용금액의 20% 할인 캐시백', '스타벅스, 투썸플레이스, 커피빈, 메가커피, 빽다방, 컴포즈커피 결제 시 이용금액의 20% 할인 캐시백', '해외 서비스수수료, 현금인출수수료, 예금잔액조회수수료 면제', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2423,노리2 체크카드(Global),"['카페', '게임', '공연/전시', '드럭스토어', '편의점', '디지털구독', '배달앱', '통신', '영화/문화', '테마파크', '해외이용', '공항라운지', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2423/card_img/27142/2423card.png,"['[일상] 스타벅스, 커피빈 10% 할인', '[일상] 구글플레이스토어, 앱스토어 10% 할인', '[일상] 인터파크 티켓 10% 할인', '[일상] 올리브영, 미용실 업종 5% 할인', '[일상] GS25, CU 5% 할인', '[일상]넷플릭스, 유튜브프리미엄 1,000원 할인', '[일상] 배달의 민족, 요기요 1,000원 할인', '[일상] SKT, KT, LG U+, Liiv M 2,500원 할인', '[일상] CGV 4,000원 할인', '[일상] 에버랜드, 롯데월드 15,000원 할인', '[Global] 해외 가맹점 2% 할인', '[Global] 공항라운지 더라운지멤버스', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2269,토스뱅크카드,"['캐시백', '해외', '선택형', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2269/card_img/20697/2269card.png,"['세가지 중 원하는 캐시백을 직접 골라요24년 2월 1일부터 24년 7월 31일까지', 'ATM 현금 인출 수수료 혜택/해외 온・오프라인 결제 무제한 캐시백', '플레이트 컬러 선택 가능', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/281,신한카드 Deep Dream 체크,"['적립', '생활', '생활', '주유소', '택시', '적립', '금융', '유의사항']",https://api.card-gorilla.com:8080/storage/card/281/card_img/20503/281card.png,"['기본 포인트 적립', '추가 포인트 적립', '추가 포인트 적립', '주유소 적립', '택시 할인', '추가 포인트 적립', '수수료 우대', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/584,우리 K-패스 (COOKIE CHECK),"['대중교통', '해외', '캐시백', '유의사항']",https://api.card-gorilla.com:8080/storage/card/584/card_img/33529/584card.png,"['K-패스 사업 지역 안내', '해외 서비스(Mastercard 브랜드 발급 시 제공)', '국내서비스', '꼭 확인하세요!']"
https://www.card-gorilla.com/card/detail/2667,신한카드 SOL트래블 체크,"['해외이용', '수수료우대', '공항라운지', '해외', '할인', '해외이용', '유의사항']",https://api.card-gorilla.com:8080/storage/card/2667/card_img/32473/2660card.png,"['해외 이용금액 현지 통화 결제 서비스', '국제 브랜드 수수료(1%)/해외 서비스 수수료(0.2%) 면제', '더라운지 공항라운지 본인 무료 입장', '해외 대중교통 컨택리스 방식으로 이용 시 1% 결제일 할인', '국내 4대 편의점 5% 결제일 할인국내 대중교통 1% 결제일 할인', '해외이용 프로모션', '꼭 확인하세요!']"
